date,time_et,type,pillar,concept,caption,hashtags,asset_ref,cta
2026-07-24,18:30,reel,Discipline,Epictetus between sets,"Your coach was born a slave and taught emperors. You control the rep. Not the weight. Not the day. The rep. — Epictetus at the gym",#gymmotivation #discipline #stoicgrindset #PhilosophyOnGlass,gym footage + sprite overlay,Tag your gym partner
2026-07-25,12:00,carousel,Daily Wisdom,Quotes they don't teach,"5 quotes school never gave you. From the Vedanta to the Stoa. Slide 5 is the one you needed at 17.",#philosophy #ancientwisdom #quotestoliveby #PhilosophyOnGlass,5 quote cards mixed traditions,Save + share
2026-07-26,18:30,reel,Pantheon,Which philosopher are you,"Overthinker? Laozi. Control freak? Epictetus. Hedonist with guilt? Epicurus. Comment your result — quiz in stories all week.",#philosophy #personalityquiz #stoicism #PhilosophyOnGlass,sprite montage + poll stickers,Vote in stories
2026-07-27,07:30,post,Daily Wisdom,Ibn Sina quote card,"The world is divided into men who have wit and no religion and men who have religion and no wit. — Ibn Sina. The doctor of doctors did not do small talk.",#wisdom #ibnsina #ancientwisdom #PhilosophyOnGlass,sprite:avicenna 4:5 card,Save this
2026-07-28,18:30,reel,Discipline,The Stockdale reel,"7 years a POW. What kept Admiral Stockdale alive was a book he memorized at 24 — the Enchiridion of Epictetus. It fits on your face now. For everyone still fighting something.",#veteranowned #mentaltoughness #stoicism #PhilosophyOnGlass,archival-style edit + G2 shot,Share with a veteran
2026-07-29,07:30,post,Daily Wisdom,Confucius quote card,"The man who moves a mountain begins by carrying away small stones. — Confucius. Your Tuesday stone is waiting.",#confucius #dailyquotes #discipline #PhilosophyOnGlass,sprite:confucius 4:5 card,Save this
2026-07-30,18:30,reel,Pantheon,Brutality tier list,"Ranking philosophers by how hard their advice hits. S-tier: Epictetus. 'You will die and none of this matters — now act well.' Disagree in the comments.",#philosophymemes #stoicism #tierlist #PhilosophyOnGlass,tier-list template + sprites,Fight me in comments
2026-07-31,12:00,carousel,Daily Wisdom,Daily 1-3-5 explained,"The Daily 1-3-5: one intention, three problems sorted by what you control, five minutes with a philosopher. The whole practice, one carousel.",#morningroutine #stoicism #productivity #PhilosophyOnGlass,figma:Daily 1-3-5 concept EN re-copy,Try it free at launch
2026-08-01,18:30,reel,On Glass,Countdown T-7,"One week. iOS + Apple Watch. Aug 8. The well opens for everyone. Pre-order now and it downloads itself while you sleep.",#newapp #comingsoon #smartglasses #PhilosophyOnGlass,figma:iOS + Watch device frames,Pre-order in bio
2026-08-02,07:30,post,Daily Wisdom,Marcus quote card,"Waste no more time arguing what a good man should be. Be one. — Marcus Aurelius. Six days.",#marcusaurelius #stoicism #dailyquotes #PhilosophyOnGlass,sprite:marcus_aurelius 4:5 card,Pre-order in bio
2026-08-03,18:30,reel,Conversations,Philosophers react,"Philosophers react to your group chat leaving you on read. Zeno: indifferent. Epicurus: their loss. Nietzsche would have loved the drama. (He arrives later this year.)",#philosophymemes #groupchat #stoicism #PhilosophyOnGlass,sprite reactions + chat mockup,Follow for the roster
2026-08-04,18:30,reel,Conversations,Oracle answer ep.2,"Round 2 from the well. This week: 'How do I stop comparing myself to everyone?' Zhuangzi took this one. His answer rewired me.",#askaphilosopher #comparison #taoism #PhilosophyOnGlass,Speak screen-capture subtitled,Drop your question
2026-08-05,07:30,post,Daily Wisdom,Epicurus quote card,"Do not spoil what you have by desiring what you have not. — Epicurus. The original anti-doomscroll.",#epicurus #gratitude #dailyquotes #PhilosophyOnGlass,sprite:epicurus 4:5 card,3 days
2026-08-06,18:30,reel,On Glass,Everything in 60s T-2,"Everything enkiRIDION does, in 60 seconds. Browse 2,801 quotes. Filter by mindstate. Speak to philosophers in 9 languages. Glass, watch, phone. Two days.",#appstore #newapp #stoicism #PhilosophyOnGlass,full product screen-capture montage,Pre-order closes soon
2026-08-07,18:30,reel,Pantheon,Tomorrow T-1,"Tomorrow the well opens. 17 minds. 2,800 years. Every screen you own. To the 3,000 who were here first: your founders access is already yours.",#launchday #newapp #philosophy #PhilosophyOnGlass,sprite lineup slow pan,Set a reminder
2026-08-08,09:00,reel,On Glass,LAUNCH DAY,"WE ARE LIVE. enkiRIDION on iOS + Apple Watch. Free: all quotes + daily conversations with Confucius, Epictetus, Ibn Sina. The rest of the pantheon awaits. Link in bio.",#launchday #newapp #stoicism #PhilosophyOnGlass,launch hero cut best footage,Download now
2026-08-09,07:30,post,Daily Wisdom,Seneca quote card,"It is not that we have a short time to live, but that we waste a lot of it. — Seneca. Perfect first weekend question for him.",#seneca #stoicism #dailyquotes #PhilosophyOnGlass,sprite:seneca 4:5 card,Download in bio
2026-08-10,18:30,reel,On Glass,Day in the life,"A day with philosophy on glass: 7am Marcus on the train. 1pm Laozi at lunch. 6pm Epictetus at the gym. 10pm Buddha before sleep. Four windows. One well.",#dayinthelife #smartglasses #stoicmindset #PhilosophyOnGlass,dayparted POV montage,Download in bio
2026-08-11,18:30,reel,Conversations,Launch recap + Oracle ep.3,"72 hours live. Your first questions to the well were unreal. This week's answer: 'How do I know what to do with my life?' — all three free philosophers weighed in.",#askaphilosopher #newapp #lifeadvice #PhilosophyOnGlass,Speak captures + review screenshots,Ask yours — download in bio
